Variable,Mean,Std. Dev.,Min,Max
Cultivated Area (ha),"10,529.06","4,492.39","3,220.00","18,929.00"
pH,6.04,1.08,0.06,6.70
Total Nitrogen (%),0.42,1.60,0.06,10.40
Available Phosphorus (ppm),31.04,86.01,7.00,405.00
Exchangeable Potassium (ppm),304.50,154.12,0.52,480.00
Organic Carbon (%),0.99,0.49,0.20,1.90
Annual Temperature (°C),34.03,1.02,32.10,36.60
Relative Humidity (%),56.57,4.36,48.80,66.02
Wind Speed (m/s),6.73,2.37,2.30,9.82
Solar Radiation (MJ/m²/day),22.51,0.55,21.12,23.42
Soil Wetness,0.54,0.07,0.43,0.67
Coffee Yield (ton/ha),"2,675.56","2,224.15",285.00,"18,259.00"
